year,round,quota,college_name,college_state,course,category,gender,pwd_flag,domicile_state,seat_type,opening_rank,closing_rank,opening_score,closing_score,source_file
2021,1,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,43,56,,,curated_v1
2021,1,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,48,63,,,curated_v1
2021,1,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,67,82,,,curated_v1
2021,1,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,148,239,,,curated_v1
2021,1,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,320,455,,,curated_v1
2021,2,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,40,67,,,curated_v1
2021,2,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,49,75,,,curated_v1
2021,2,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,70,97,,,curated_v1
2021,2,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,171,282,,,curated_v1
2021,2,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,348,537,,,curated_v1
2022,1,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,38,50,,,curated_v1
2022,1,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,41,56,,,curated_v1
2022,1,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,47,73,,,curated_v1
2022,1,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,159,213,,,curated_v1
2022,1,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,325,406,,,curated_v1
2022,2,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,36,60,,,curated_v1
2022,2,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,53,67,,,curated_v1
2022,2,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,67,87,,,curated_v1
2022,2,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,172,252,,,curated_v1
2022,2,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,306,480,,,curated_v1
2023,1,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,44,53,,,curated_v1
2023,1,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,40,59,,,curated_v1
2023,1,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,47,77,,,curated_v1
2023,1,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,139,223,,,curated_v1
2023,1,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,345,426,,,curated_v1
2023,2,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,46,62,,,curated_v1
2023,2,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,56,70,,,curated_v1
2023,2,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,71,91,,,curated_v1
2023,2,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,193,264,,,curated_v1
2023,2,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,424,503,,,curated_v1
2024,1,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,36,52,,,curated_v1
2024,1,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,43,59,,,curated_v1
2024,1,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,61,76,,,curated_v1
2024,1,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,166,221,,,curated_v1
2024,1,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,344,422,,,curated_v1
2024,2,AIQ,AIIMS New Delhi,DL,MBBS,UR,ANY,0,,AIQ,46,62,,,curated_v1
2024,2,AIQ,AIIMS New Delhi,DL,MBBS,EWS,ANY,0,,AIQ,53,69,,,curated_v1
2024,2,AIQ,AIIMS New Delhi,DL,MBBS,OBC,ANY,0,,AIQ,55,90,,,curated_v1
2024,2,AIQ,AIIMS New Delhi,DL,MBBS,SC,ANY,0,,AIQ,171,261,,,curated_v1
2024,2,AIQ,AIIMS New Delhi,DL,MBBS,ST,ANY,0,,AIQ,334,498,,,curated_v1
2021,1,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,91,121,,,curated_v1
2021,1,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,94,136,,,curated_v1
2021,1,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,121,176,,,curated_v1
2021,1,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,332,510,,,curated_v1
2021,1,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,647,971,,,curated_v1
2021,2,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,119,143,,,curated_v1
2021,2,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,121,160,,,curated_v1
